Wave age: 0.84,wave spread parameter: 6,wo: 0.8,HG forward scattering term:0.995
-3.66E-06,-0.015765016,9.57E-05,
3.57E-05,-0.015583715,0.000178815,
-4.56E-05,-0.016268461,-0.000776646,
3.08E-05,-0.015488323,0.000642591,
-4.79E-06,-0.015904216,-0.000169741,
1.97E-05,-0.015642135,0.000288048,
-6.82E-06,-0.015868723,2.19E-05,
-3.55E-05,-0.016176696,-0.000815504,
-2.07E-05,-0.015971609,-0.000219833,
-2.52E-05,-0.015995212,-0.0002609,
-1.21E-05,-0.015900414,-0.000266599,
1.11E-05,-0.015688526,0.000327384,
-1.22E-05,-0.015883358,-0.000100063,
2.84E-05,-0.015554981,0.000459423,
3.61E-05,-0.015474158,0.000640478,
1.51E-06,-0.01579569,-4.54E-05,
-7.88E-06,-0.015841397,9.45E-05,
-7.17E-06,-0.015875104,-0.000107221,
-5.56E-05,-0.016286078,-0.000771416,
2.14E-05,-0.015627786,0.000362666,
2.25E-05,-0.015674528,1.90E-04,
2.65E-05,-0.015650936,0.000151837,
-1.48E-05,-0.015952719,-9.86E-05,
1.39E-05,-0.015719612,0.000220505,
-3.05E-05,-0.016121098,-0.000618129,
-9.24E-06,-0.015874511,-0.000102528,
1.19E-06,-0.015777936,0.000174455,
-1.44E-05,-0.016032298,-0.000515825,
7.87E-06,-0.015755328,-1.18E-04,
-2.97E-05,-0.016028808,-2.33E-04,
2.08E-05,-0.015575884,0.000389104,
9.35E-05,-0.052480794,0.001011758,
-3.90E-05,-0.053655444,-0.000794972,
-1.24E-04,-0.05448236,-0.00208103,
4.24E-05,-0.052895489,0.000669173,
-2.41E-05,-0.053350327,4.80E-05,
1.44E-04,-0.052051946,0.00159922,
5.92E-05,-0.052734624,0.000518245,
1.30E-04,-0.052146428,0.001823136,
-6.86E-05,-0.054049164,-0.001903162,
1.85E-05,-0.052983818,0.000566833,
4.07E-06,-0.053062672,0.000307003,
-9.11E-05,-0.053925156,-0.000717656,
-4.12E-05,-0.053760789,-0.001141227,
0.000152589,-0.051675255,0.002727963,
6.74E-05,-0.052273725,0.001845724,
-1.44E-05,-0.053205004,0.000469496,
-8.62E-06,-0.053162705,0.000359143,
-1.56E-05,-0.05356119,-0.00065527,
9.99E-06,-0.052829407,0.000906426,
8.42E-05,-0.052234082,0.002100172,
8.02E-05,-0.052276677,0.00170884,
-5.76E-05,-0.05373261,-0.000829847,
-5.62E-06,-0.053355857,-0.000404722,
-0.000103293,-0.054141379,-0.001273034,
-7.87E-05,-0.053928235,-0.000965047,
8.00E-06,-0.053199277,1.06E-05,
1.91E-05,-0.053000692,0.000515099,
-0.000104726,-0.054231052,-0.00174406,
3.16E-05,-0.052823955,0.001014323,
0.00010738,-0.052313243,0.00112235,
4.70E-05,-0.053000368,0.000421017,
2.31E-05,-0.085319686,-0.00082437,
-1.51E-05,-0.08464672,0.001555846,
-5.49E-05,-0.085400891,-0.000452758,
9.02E-05,-0.084320937,0.001235646,
-7.93E-05,-0.085812599,-0.001573995,
8.72E-06,-0.084913295,0.000435523,
-4.24E-05,-0.08576993,-0.002012266,
1.61E-04,-0.083513513,0.00244112,
6.09E-05,-0.084196665,0.002019623,
3.98E-05,-0.084560182,0.000846816,
1.16E-04,-0.083723194,0.002312017,
2.21E-04,-0.082559268,0.004821204,
-6.52E-05,-0.085585576,-0.001003831,
-3.07E-04,-0.088064584,-0.005193512,
-6.26E-05,-0.085663563,-0.00150057,
-0.000104319,-0.086356601,-0.002976952,
0.000119604,-0.084028832,0.001660365,
-3.01E-05,-0.085579845,-0.001615073,
-7.68E-05,-0.086024094,-0.001525301,
-8.59E-05,-0.085853433,-0.001502853,
3.49E-05,-0.084749394,0.000603278,
-4.96E-05,-0.085578209,-0.001273383,
-8.01E-05,-0.085646497,-0.000909858,
-2.28E-05,-0.08517092,-0.000175729,
-0.000105694,-0.086190502,-0.00204377,
6.94E-05,-0.084256782,0.000998103,
-0.000149189,-0.086849016,-0.003361626,
-4.97E-06,-0.084788822,0.000835668,
-7.63E-05,-0.08553129,-0.000377951,
-0.000100525,-0.086099953,-0.002393792,
5.58E-05,-0.084542563,-1.29E-05,
9.98E-05,-0.116971795,0.002644262,
-9.99E-05,-0.119627603,-0.003266582,
3.81E-04,-0.114966517,0.004632472,
-1.19E-04,-0.119563403,-0.001650255,
-8.76E-05,-0.118967302,-0.001008366,
1.34E-04,-0.117047384,0.002242722,
1.92E-04,-0.116280834,0.002997712,
8.94E-05,-0.11746159,0.000801956,
8.82E-06,-0.117709939,0.001795852,
-3.38E-04,-0.121332258,-0.004018763,
-2.52E-04,-0.121105638,-0.006612588,
1.37E-04,-0.116932412,0.002237026,
-2.31E-04,-0.120383797,-0.003555424,
-0.00013558,-0.119638293,-0.00248245,
0.000104524,-0.117015843,0.002540658,
-4.41E-05,-0.118501612,-0.000300408,
0.00015677,-0.11678582,0.002134354,
-0.000167278,-0.119833949,-0.002589163,
0.000405974,-0.114374338,0.006618781,
0.000190875,-0.116154492,0.003693938,
-0.000123743,-0.11930078,-0.001295049,
9.70E-05,-0.117748109,0.001693144,
-0.000246588,-0.12076689,-0.00442161,
-0.000282475,-0.121151858,-0.005734229,
0.000454801,-0.114160124,0.007514872,
1.03E-05,-0.118186119,-7.75E-05,
0.000162134,-0.11686353,0.001785661,
-8.50E-05,-0.118732702,-0.001281117,
-0.000418167,-0.121999592,-0.005736107,
0.000144689,-0.116857056,0.00190209,
0.00017141,-0.116824698,0.002366297,
0.000189657,-0.147734719,0.003077303,
-5.19E-05,-0.149705852,-0.000633513,
-9.83E-05,-0.150835226,-0.00096298,
0.000100876,-0.148413009,0.002671841,
-1.74E-04,-0.151000674,-0.000852366,
0.000142239,-0.148506795,0.001182304,
1.41E-04,-0.148349075,0.002887032,
-0.000188966,-0.15185902,-0.003837843,
8.10E-05,-0.148189455,0.002845821,
-1.47E-04,-0.151200006,-0.002750329,
-1.79E-05,-0.149882477,-0.001815155,
-2.23E-04,-0.152089816,-0.0031799,
4.23E-04,-0.145260231,0.008356413,
0.00013258,-0.148028388,2.95E-03,
-0.000308732,-0.15254262,-0.004661623,
-5.13E-05,-0.150862226,-0.00226873,
-0.000347177,-0.153599115,-0.008925558,
2.63E-05,-0.149933135,-0.001296123,
-0.000193915,-0.150980863,-0.00179887,
-2.12E-05,-0.149848141,-0.000288324,
-0.000104576,-0.151184608,-0.002157096,
-0.000216189,-0.1520672,-0.004940487,
-0.000273317,-0.152095144,-0.002955533,
0.000158374,-0.147765584,0.004431893,
-0.000268417,-0.152218997,-0.004121211,
-9.88E-05,-0.15065563,-0.000879192,
0.000422965,-0.146099764,0.00571324,
-0.000400702,-0.153412601,-0.005751141,
-0.000191993,-0.151491177,-0.003082668,
-6.67E-05,-0.15047237,-0.001903434,
-5.03E-05,-0.150576455,-0.002266769,
4.76E-05,-0.168324887,0.001174468,
0.000181672,-0.167212534,0.002521172,
-9.40E-05,-0.169420201,-0.000550207,
-0.000310318,-0.172006691,-0.006669449,
-0.00019661,-0.170952336,-0.004877606,
-1.39E-05,-0.169548833,-0.001886055,
4.89E-06,-0.169219754,-0.001195079,
5.07E-05,-0.168702449,0.000441887,
-0.000258275,-0.17142258,-0.004689819,
1.08E-04,-0.168377233,-6.66E-05,
-4.69E-04,-0.173502725,-0.008534748,
-2.55E-05,-0.169281273,-0.000446119,
-1.06E-04,-0.170179459,-2.81E-03,
0.00031155,-0.166230387,0.004180591,
5.78E-05,-0.168194621,0.001972122,
-2.33E-05,-0.168757862,-0.000416956,
0.000168468,-0.167237694,0.002193029,
0.000418401,-0.165015931,0.005216005,
-0.000219296,-0.170822776,-0.003111887,
0.000206653,-0.167214254,0.003060244,
8.16E-05,-0.168162876,0.001419376,
3.85E-05,-0.168715289,-0.000648708,
0.000178913,-0.166539099,0.005115881,
0.000302728,-0.166546609,0.002394878,
0.000419912,-0.165087587,0.003764101,
-0.000189367,-0.170847124,-0.004093085,
-0.000170005,-0.170789105,-0.004212795,
-0.000277342,-0.170994321,-0.003330476,
0.000390552,-0.165214997,0.006186555,
0.000462299,-0.164667612,0.006620251,
-3.72E-05,-0.169318685,-0.001539646,
0.000278476,-0.176015938,0.003099337,
0.000159626,-0.177170552,0.002401557,
-0.000389522,-0.182293336,-0.004655898,
0.000214958,-0.176792291,0.00411675,
-0.000116143,-0.179324339,-0.000858213,
0.000149199,-0.176886782,0.002982013,
0.000152962,-0.177326275,0.002687052,
-0.000100955,-0.17870449,0.000794646,
1.41E-04,-0.177918268,-1.20E-03,
1.38E-04,-0.17783156,0.000511054,
1.35E-04,-0.176427259,0.004437134,
0.000342054,-0.175852776,0.004208957,
-5.08E-05,-0.178740785,-0.000353215,
-9.26E-05,-0.179236932,-0.001063346,
0.000364808,-0.175606746,0.004455342,
0.000222126,-0.175715043,0.004624585,
0.000102069,-0.177372145,0.002144854,
0.000311014,-0.176276183,0.003646773,
-0.000295562,-0.181098648,-0.004545062,
0.000130721,-0.177180605,0.003389886,
-8.77E-07,-0.178800035,-0.000897753,
4.87E-05,-0.177899483,0.003482577,
-0.000245663,-0.181058163,-0.003551261,
0.000147126,-0.176492453,0.004607014,
-9.26E-05,-0.179369842,-0.002029245,
9.37E-05,-0.17782735,0.001025397,
-0.000557257,-0.183859497,-0.009443127,
4.10E-05,-0.177920608,0.00186253,
0.000311716,-0.175288023,0.006667505,
-0.00022187,-0.180274215,-0.0020087,
6.53E-06,-0.178891544,-0.001363955,
9.59E-05,-0.181825317,0.001035479,
-7.18E-05,-0.183340486,-0.001095336,
0.000104973,-0.182487828,-0.001476828,
-0.000150703,-0.184420918,-0.002275369,
-1.23E-05,-0.183057775,-0.00111681,
-0.000207035,-0.185012318,-0.00542714,
-2.39E-05,-0.183413324,-0.002456672,
-0.000211966,-0.185142165,-0.003752509,
0.000172044,-0.181032135,0.003036888,
-0.000428931,-0.186706589,-0.006656906,
3.75E-04,-0.178984717,0.004561601,
2.77E-05,-0.181955599,0.001575239,
0.000130492,-0.181386388,0.003509507,
5.45E-05,-0.182320026,0.000468425,
0.000103268,-0.181514777,0.002564775,
0.000330222,-0.180038836,0.006170852,
-0.000237717,-0.184664547,-0.00242782,
-4.54E-05,-0.183368292,-0.000870147,
0.000511975,-0.17786169,0.007105172,
2.63E-05,-0.182450086,0.000933785,
-1.79E-05,-0.182935926,-0.000731303,
0.000271769,-0.180189584,0.004271263,
-0.000145669,-0.184123835,-0.002858419,
-0.000395771,-0.185998045,-0.004719925,
3.43E-05,-0.181921831,0.002733576,
0.000441215,-0.179026793,0.005649502,
-9.33E-05,-0.183826778,-0.001377682,
3.82E-05,-0.183182205,-0.001316168,
-1.94E-05,-0.182988304,-0.00103494,
0.000268815,-0.180025294,0.00581122,
-0.000231819,-0.185083275,-0.003667214,
6.63E-05,-0.18408838,-0.00207548,
6.18E-05,-0.18378964,0.000587849,
6.84E-05,-0.183674577,0.00098694,
0.000106342,-0.184412742,-0.0015153,
-0.000325369,-0.187566315,-0.004301621,
-0.000272342,-0.186985243,-0.005131386,
0.000148213,-0.182523154,0.003847954,
3.84E-05,-0.184305894,-0.0011308,
-0.000158717,-0.185186634,-0.000808067,
0.000175631,-0.183145756,0.001391558,
-2.08E-04,-0.18659506,-0.003663641,
0.000317399,-0.180542868,0.00788059,
7.96E-05,-0.183477655,0.001289908,
0.000395961,-0.18077477,0.0065657,
-3.35E-05,-0.184358428,0.000851226,
0.00012053,-0.183424958,0.001123684,
0.000204628,-0.182353392,0.003109516,
4.96E-05,-0.183824875,0.00071073,
-4.98E-07,-0.184453523,-0.000673796,
0.000428001,-0.180009713,0.008815002,
0.000291941,-0.181587524,0.004954284,
0.000267904,-0.181211661,0.005350818,
-3.61E-05,-0.18532528,-0.002912887,
-0.000173627,-0.186183554,-0.003465998,
-8.02E-05,-0.184614372,-9.54E-05,
-0.000372654,-0.188455393,-0.007967591,
-0.000294299,-0.187171001,-0.004239369,
-5.22E-05,-0.185129433,-0.001346636,
-3.45E-05,-0.184722555,9.54E-05,
-3.41E-06,-0.18481906,-0.001489179,
0.000295297,-0.181915692,0.002585199,
0.00014376,-0.184250858,0.001124737,
6.54E-05,-0.18451535,0.001266914,
-0.00011463,-0.186128814,-0.001847808,
-0.000228023,-0.187011044,-0.002149761,
0.000344343,-0.181876351,0.00512431,
-2.25E-05,-0.185086097,0.001011833,
-0.00016191,-0.186679927,-0.002080438,
0.000205743,-0.183321695,0.002743539,
0.00011756,-0.18410347,0.001516935,
2.30E-05,-0.184907184,0.000978816,
6.39E-04,-0.179411548,0.008441508,
-6.29E-04,-0.191371937,-0.010979603,
-0.000375993,-0.189250067,-0.007561689,
0.000287842,-0.182459336,0.004182016,
0.000242169,-0.183112139,0.002231816,
-7.54E-05,-0.185431278,0.000795373,
0.000180121,-0.183742978,0.001617532,
-0.000107372,-0.186004287,-7.88E-05,
4.51E-05,-0.185204562,0.000852759,
0.000297841,-0.182456686,0.005632797,
-0.000211755,-0.187704779,-0.005497843,
0.000170514,-0.18436201,0.001109515,
0.000101642,-0.18380174,0.003341079,
-0.000342879,-0.188221877,-0.004685646,
2.50E-05,-0.184805476,0.000294143,
-0.000177671,-0.18656848,-0.002445817,
9.42E-05,-0.183795367,0.00297165,
0.000100928,-0.183904522,0.003310688,
0.000308603,-0.182178834,0.004996226,
-0.000304758,-0.187495672,-0.002693637,
-0.000245394,-0.188148385,-0.005816381,
